Year,geography,geography code,Obesity rate£¨inclduing serverely obese),Ethnic group: Total: All usual residents,"Ethnic group: Black, Black British, Black Welsh, Caribbean or African",ratio 1-ethnic,Highest level of qualification: Total: All usual residents aged 16 years and over,Highest level of qualification: Level 4 qualifications and above,ratio 2-education,Population Density: Persons per square kilometre; measures: Value,Hours worked: Total: All usual residents aged 16 years and over in employment the week before the census,Hours worked: Full-time: 49 or more hours worked,ratio 3-work time,Unemployment history: Total: All usual residents aged 16 years and over not in employment the week before the census,Unemployment history: Not in employment: Never worked,ratio 4-unemployment,Average Income of Tax Payers,Take away food shops and mobile food stands units,VIOLENCE AGAINST THE PERSON
2014-2015,Ealing,E09000009,23.3,367116,39491,0.107570904,295371,130981,0.4434457,6611.6,175026,20590,0.117639665,120345,46928,0.389945573,46800,145,6124
2014-2015,Enfield,E09000010,25.4,329985,60512,0.183378032,257182,93371,0.36305418,4082.5,143864,13881,0.09648696,113318,43133,0.380636792,42800,140,5000
2014-2015,Greenwich,E09000011,24.5,289065,60602,0.209648349,229748,104926,0.456700385,6108.6,142937,18081,0.126496289,86813,29664,0.341699976,48900,120,5425
2014-2015,Hackney,E09000012,25.6,259147,54645,0.210864876,209468,109724,0.523822254,13593.3,134310,18379,0.136840146,75158,31596,0.420394369,52500,130,5853
2014-2015,Hammersmith and Fulham,E09000013,23.3,183156,22453,0.122589487,154626,89043,0.575860463,11161.1,98093,18880,0.192470411,56534,18650,0.329889978,83600,105,3670
2014-2015,Haringey,E09000014,22.6,264238,46466,0.175849045,216000,104270,0.482731481,8930.2,134381,15952,0.118707258,81620,30349,0.371832884,57100,115,5245
2014-2015,Harrow,E09000015,21.1,261205,19151,0.073317892,209620,94317,0.449942754,5175.4,125037,14816,0.118492926,84584,30623,0.362042467,46500,105,2945
2014-2015,Havering,E09000016,20.8,262052,21567,0.082300459,209730,61921,0.295241501,2332.3,124781,13075,0.104783581,84949,22008,0.259073091,40000,140,3311
2014-2015,Hillingdon,E09000017,19.8,305907,23955,0.078308113,241878,90664,0.374833594,2644,142803,14492,0.101482462,99073,34418,0.347400402,41600,160,5500
2014-2015,Hounslow,E09000018,22.8,288181,20810,0.072211561,228681,95076,0.415758196,5148,138800,14272,0.102824207,89881,32974,0.366862852,45400,105,4930
2014-2015,Islington,E09000019,22.8,216590,28743,0.132706958,183626,103975,0.566232451,14574.9,114970,20593,0.179116291,68656,24162,0.351928455,76600,170,4993
2014-2015,Kensington and Chelsea,E09000020,21.5,143373,11279,0.078668927,123089,73226,0.594902875,11816.5,69440,18680,0.269009217,53649,18619,0.347052135,208000,85,2829
2014-2015,Kingston upon Thames,E09000021,15.8,168065,4741,0.028209324,135466,69582,0.513649181,4512.1,84148,10707,0.127240101,51315,13764,0.268225665,56500,95,1956
2014-2015,Lambeth,E09000022,27.1,317650,76145,0.239713521,268945,151312,0.562613174,11839.1,182818,27282,0.149230382,86125,29047,0.337265602,56100,145,7149
2014-2015,Lewisham,E09000023,24.2,300553,80473,0.267749781,242410,120814,0.49838703,8551.5,155712,17510,0.112451192,86699,28635,0.330280626,44800,145,5777
2014-2015,Merton,E09000024,21.6,215187,22887,0.106358655,172771,86412,0.500153382,5721.6,112065,15099,0.134734306,60707,18123,0.298532294,63000,95,2501
2014-2015,Newham,E09000025,27.4,351030,61302,0.174634647,276174,111130,0.402391246,9690.1,163445,16422,0.100474166,112728,54952,0.487474274,36100,145,6799
2014-2015,Redbridge,E09000026,22.9,310261,26096,0.08410983,242017,102696,0.424333828,5501.9,141628,15062,0.106349027,100390,40547,0.40389481,42700,135,4742
2014-2015,Richmond upon Thames,E09000027,11.2,195277,3687,0.018880872,155834,94089,0.603777096,3401.9,97565,17648,0.180884539,58269,12608,0.216375774,90400,70,1967
2014-2015,Southwark,E09000028,28,307640,77299,0.251264465,256136,140514,0.548591373,10659,166948,25300,0.151544193,89188,31262,0.350518007,57800,155,6389
2014-2015,Sutton,E09000029,17.4,209636,12465,0.059460207,165657,65889,0.39774353,4781,104226,10888,0.104465297,61433,16487,0.268373675,45200,105,2611
2014-2015,Tower Hamlets,E09000030,26.7,310306,22693,0.073131038,252883,127299,0.503390896,15702.9,155392,23880,0.153675865,97491,46215,0.474043758,55500,175,6251
2014-2015,Waltham Forest,E09000031,21.7,278428,41647,0.149579065,222182,95910,0.431673133,7173.3,140371,14909,0.106211397,81810,30614,0.374208532,40100,120,5078
2014-2015,Wandsworth,E09000032,20.7,327506,33062,0.100950822,273558,171346,0.626360772,9560,190442,35828,0.188130769,83116,24998,0.300760383,79700,140,4466
2014-2015,Westminster,E09000033,24.5,204236,16456,0.080573454,177467,102356,0.57676075,9514.2,101742,25228,0.247960528,75725,30007,0.396262793,133000,320,6760
2015-2016,Barking and Dagenham,E09000002,28.5,218871,46807,0.213856564,161746,53791,0.332564638,6065.8,94588,8211,0.086808052,67156,28236,0.420453869,31800,125,5058
2015-2016,Barnet,E09000003,20.7,389344,30651,0.078724727,309354,151642,0.490189233,4488.7,186175,24710,0.132724587,123179,41107,0.333717598,59100,165,5651
2015-2016,Bexley,E09000004,22.7,246475,30075,0.122020489,195825,61837,0.315776842,4070.7,117985,11764,0.09970759,77844,20228,0.259853039,38000,125,3303
2015-2016,Brent,E09000005,24.3,339821,59495,0.175077467,275143,109998,0.399784839,7859.6,160997,17971,0.111623198,114146,47370,0.414994831,44100,160,7002
2015-2016,Bromley,E09000006,16,329991,25149,0.076211169,265088,113508,0.428189884,2197.7,162122,20875,0.128761056,102966,23070,0.224054542,54500,170,5282
2015-2016,Camden,E09000007,21.3,210136,18892,0.089903681,177909,101932,0.572944595,9640.9,102511,20053,0.195618031,75397,27328,0.36245474,119000,210,5738
2015-2016,Croydon,E09000008,24.5,390724,88441,0.226351593,310397,127342,0.410255254,4516,189405,19191,0.101322563,120991,38272,0.316321049,40900,260,8318
2015-2016,Ealing,E09000009,23.8,367116,39491,0.107570904,295371,130981,0.4434457,6611.6,175026,20590,0.117639665,120345,46928,0.389945573,46800,175,7336
2015-2016,Enfield,E09000010,25.2,329985,60512,0.183378032,257182,93371,0.36305418,4082.5,143864,13881,0.09648696,113318,43133,0.380636792,42800,170,5702
2015-2016,Greenwich,E09000011,27.7,289065,60602,0.209648349,229748,104926,0.456700385,6108.6,142937,18081,0.126496289,86813,29664,0.341699976,48900,135,6403
